"","Original","Outcome","ES","TH","RRH","Prev","PrevEligible","Family","Comorbidity"
"124",4,0,0.202804185294989,0.202228138862396,0.180749546262644,NA,0,1,0
"125",1,1,0.406367870711368,0.404853402736329,0.422514416500725,NA,0,1,0
"126",5,0,0.179834898423626,0.137835821848946,0.141114277979223,0.136350693885462,1,0,0
"127",4,1,0.766386167085427,0.718249271474294,0.766179717798535,NA,0,0,0
"128",5,0,0.151878256398539,0.142983389756077,0.133180942379175,0.0922405438805794,1,1,0
"129",5,0,0.237664531606883,0.152297625715049,0.220457776632701,0.148213351836013,1,0,0
"130",4,1,0.26238091109482,0.269567371539503,0.276301670275237,NA,0,1,0
"131",1,1,0.205053971490422,0.219208945654975,0.185138116349412,NA,0,1,1
"132",5,0,0.163999717588294,0.156457733004404,0.15217173106601,0.103700517911485,1,1,0
"133",5,0,0.169393096069863,0.131600252056403,0.137293845454144,0.0945941842182756,1,0,0
"134",1,0,0.311551157026769,0.270644153917532,0.296025241865838,NA,0,0,0
"135",5,0,0.420817112887721,0.332280145226575,0.355675520978957,0.260306321331019,1,0,0
"136",5,0,0.207444389246823,0.232082462171858,0.204705118730852,0.134263133697677,1,1,0
"137",1,0,0.560686995255685,0.598801722469985,0.493285945974736,NA,0,1,0
"138",1,0,0.576800004636984,0.485861991455422,0.465253919368356,NA,0,0,0
"139",5,1,0.493593439022194,0.371544904941242,0.435067695524081,0.348440241478626,1,0,1
"140",3,1,0.684737195181393,0.633089277359145,0.670817887968414,NA,0,0,0
"141",1,0,0.563239402086048,0.551223030002389,0.499060038142947,NA,0,1,0
"142",1,1,0.595466513985035,0.613009641986376,0.598304657374066,NA,0,1,0
"143",1,1,0.481253624323149,0.385382714764403,0.420980923010334,NA,0,0,0
"144",1,0,0.436286943906567,0.301713727785144,0.368653287684816,NA,0,0,1
"145",1,0,0.428216720218589,0.385668835866976,0.372072358299499,NA,0,1,1
"146",5,0,0.334021903665134,0.25407243593194,0.3024095602039,0.237179040122535,1,0,0
"147",5,0,0.239021034340669,0.157353404532677,0.183859935087394,0.123954818566392,1,0,0
"148",5,0,0.194251110039712,0.184530856493228,0.181595395593653,0.0965709760341101,1,1,0
"149",5,1,0.219651832669479,0.155251390733634,0.178089988619364,0.127358329112679,1,0,0
"150",5,0,0.182121948816338,0.182602673890714,0.158157221503386,0.115411692394528,1,0,0
"151",1,1,0.454232298083121,0.504014867373182,0.49437661654947,NA,0,1,0
"152",1,1,0.804138526309504,0.775051240619336,0.779390055150165,NA,0,0,0
"153",1,0,0.500421668279263,0.412249984933394,0.392615861975641,NA,0,0,0
"154",5,0,0.185473851337004,0.156608755335464,0.160310130951049,0.103591220568417,1,1,0
"155",5,0,0.371823931226154,0.305702762256071,0.38253597172342,0.242014408635231,1,0,1
"156",5,0,0.155665628032971,0.14828649216372,0.146932747379593,0.0890786778157544,1,1,0
"157",5,0,0.312978910665559,0.243411350340262,0.306362125522613,0.201885295603038,1,0,0
"158",4,1,0.507802409531795,0.433118774908837,0.496336029612659,NA,0,0,0
"159",5,0,0.172097691968856,0.137332444025794,0.162202101825059,0.0995049354689094,1,0,0
"160",5,0,0.226845947158901,0.172582431567927,0.200859966118066,0.133117976895947,1,0,0
"161",1,0,0.543589483733526,0.462448683743201,0.46354350943178,NA,0,0,0
"162",5,1,0.514189301357402,0.436120163061985,0.50418041523769,0.382723370472194,1,0,0
"163",5,0,0.261441498169345,0.197414362648886,0.219900628480725,0.155388348548516,1,0,0
"164",1,0,0.718325685556329,0.627857586497715,0.682817183718832,NA,0,0,0
"165",4,1,0.655162314034902,0.535427698098203,0.649654572475227,NA,0,0,1
"166",1,1,0.538219810901338,0.439604016396216,0.438144804409907,NA,0,0,0
"167",5,0,0.103689905199811,0.102632280473558,0.105159525123797,0.0664179553027036,1,1,0
"168",5,0,0.33659549221076,0.325108679279309,0.309025255482828,0.230669232571193,1,0,1
"169",5,1,0.568404087110956,0.489125295864327,0.470873551890719,0.378625731915866,1,0,0
"170",1,0,0.610730003728037,0.686326288646273,0.633126543345649,NA,0,1,0
"171",4,1,0.782905923728389,0.730358099672774,0.778068247098995,NA,0,0,0
"172",1,1,0.680589931459449,0.611713828843688,0.655644434425477,NA,0,0,1
"173",1,1,0.806188783585028,0.770485487083049,0.771917265384435,NA,0,0,0
"174",1,0,0.296392548440281,0.240219483120014,0.262783511456321,NA,0,0,0
